datetime,open,high,low,close,Volume,VWAP
2024-01-02,1138.6,1141.8,1131.0,1132.6,9041,1135.9995796925118
2024-01-03,1130.8,1141.6,1126.6,1141.6,8021,1132.2157586335868
2024-01-04,1146.6,1171.0,1145.5,1159.5,11145,1156.5479048900852
2024-01-05,1156.7,1163.8,1154.2,1163.4,9729,1158.7643539932162
2024-01-08,1166.1,1173.2,1160.6,1166.0,9231,1167.2198461705125
2024-01-09,1165.1,1165.9,1159.0,1164.0,7664,1162.8258481210858
2024-01-10,1162.5,1170.8,1160.1,1163.8,8391,1164.414122273865
2024-01-11,1164.9,1176.2,1162.9,1165.1,8881,1169.9489922306047
2024-01-12,1166.0,1169.3,1151.0,1165.7,10726,1160.4722543352602
2024-01-15,1171.2,1175.3,1163.7,1163.7,9686,1170.3388602106131
2024-01-16,1158.1,1170.0,1157.7,1170.0,8733,1161.6056567044543
2024-01-17,1171.7,1179.6,1164.4,1165.1,9566,1172.9649278695379
2024-01-18,1167.6,1177.3,1165.8,1172.9,7954,1169.8427206437013
2024-01-19,1181.4,1188.3,1180.4,1187.0,8013,1184.2762635716958
2024-01-22,1194.5,1196.2,1186.2,1196.0,7993,1190.9625046916053
2024-01-23,1193.0,1194.5,1181.8,1184.4,8375,1188.8481313432835
2024-01-24,1183.3,1190.4,1179.1,1181.7,8212,1185.5991475888943
2024-01-25,1181.4,1183.7,1175.0,1182.6,7832,1179.8277962206334
2024-01-26,1182.1,1188.7,1181.8,1187.9,8041,1185.8222236040294
2024-01-29,1189.5,1189.5,1181.7,1182.5,6977,1185.6555109645979
2024-01-30,1184.1,1186.9,1182.7,1186.8,5412,1183.8328529194384
2024-01-31,1186.8,1188.5,1165.7,1167.0,9082,1180.4584452763709
2024-02-01,1168.6,1180.4,1168.6,1177.5,9523,1175.2054814659248
2024-02-02,1179.2,1182.3,1174.9,1176.2,7929,1179.188989784336
2024-02-05,1182.7,1210.0,1181.3,1203.9,9894,1190.7650495249648
2024-02-06,1201.7,1205.8,1200.8,1202.5,7997,1203.492647242716
2024-02-07,1206.3,1219.6,1205.5,1216.7,9760,1211.0094672131147
2024-02-15,1224.7,1227.6,1218.0,1218.7,7589,1222.3157596521282
2024-02-16,1226.4,1230.7,1222.7,1230.1,8783,1226.4740749174543
2024-02-19,1231.5,1243.6,1230.6,1242.9,9591,1235.3240850797624
2024-02-20,1240.9,1243.6,1237.8,1240.9,9090,1240.7511441144115
2024-02-21,1236.1,1248.3,1235.4,1243.2,10603,1240.5585966235972
2024-02-22,1240.3,1242.5,1236.0,1239.1,9210,1239.5869272529858
2024-02-23,1240.8,1253.9,1225.6,1227.4,11539,1245.2033885085364
2024-02-26,1226.1,1231.4,1222.2,1229.5,9825,1226.7415572519085
2024-02-27,1230.5,1242.0,1230.5,1242.0,10416,1236.4246639784947
2024-02-28,1242.6,1262.1,1241.6,1262.0,11162,1248.2360060920983
2024-02-29,1266.2,1271.4,1255.3,1263.4,10910,1264.3067461044914
2024-03-01,1264.6,1268.4,1259.2,1268.1,10958,1263.2669373973351
2024-03-04,1270.2,1272.0,1263.5,1267.3,10445,1267.9612158927716
2024-03-05,1266.7,1278.1,1264.2,1277.7,9558,1267.0889621259678
2024-03-06,1277.4,1282.0,1256.0,1267.2,10733,1273.247470418336
2024-03-07,1267.2,1278.0,1264.4,1273.1,10475,1270.1627589498808
2024-03-08,1274.7,1276.0,1249.5,1249.9,13492,1259.845515861251
2024-03-11,1251.0,1254.5,1231.1,1232.0,12451,1249.5822584531363
2024-03-12,1232.3,1243.0,1232.0,1238.5,10926,1236.5763591433279
2024-03-13,1241.1,1273.7,1240.4,1271.4,12139,1250.3094324079414
2024-03-14,1271.5,1273.0,1252.7,1260.6,11676,1267.044758478931
2024-03-15,1256.8,1266.5,1242.1,1259.0,12000,1252.7922416666668
2024-03-18,1258.0,1259.2,1218.9,1236.9,12514,1236.623965159022
2024-03-19,1231.6,1235.3,1224.4,1231.0,11381,1230.566092610491
2024-03-20,1232.7,1262.0,1228.0,1259.0,11297,1242.8589979640612
2024-03-21,1261.1,1275.7,1261.1,1275.2,10202,1268.0797196628114
2024-03-22,1285.6,1294.0,1275.7,1284.5,11176,1285.5069792412312
2024-03-25,1281.2,1287.6,1267.5,1271.5,11215,1280.2458760588497
2024-03-26,1267.7,1290.3,1267.7,1287.5,10014,1276.850069902137
2024-03-27,1286.5,1289.4,1279.7,1285.4,9796,1284.8445896284197
2024-03-28,1298.0,1305.8,1295.0,1305.0,10908,1298.9150348368169
2024-03-29,1306.7,1306.7,1295.9,1298.6,10079,1299.3268082151008
2024-04-01,1293.0,1299.4,1283.2,1292.5,11108,1291.5616312567518
2024-04-02,1282.4,1291.9,1274.3,1289.5,11062,1281.2373259808353
2024-04-03,1284.6,1288.0,1269.4,1273.0,10606,1282.0538091646238
2024-04-04,1275.6,1280.3,1267.0,1269.1,10482,1274.7330471284106
2024-04-05,1253.2,1264.8,1252.0,1257.2,9968,1257.5759028892455
2024-04-08,1255.1,1259.4,1247.2,1252.2,10864,1253.2374355670104
2024-04-09,1258.0,1264.3,1254.2,1263.1,9760,1258.0732786885246
2024-04-10,1264.8,1272.9,1259.9,1260.1,10079,1268.4748486953072
2024-04-11,1251.1,1264.8,1251.1,1261.0,9544,1257.731213327745
2024-04-12,1265.7,1283.9,1260.1,1282.9,11886,1267.1276459700487
2024-04-15,1281.7,1286.7,1232.6,1234.9,12948,1275.096061167748
2024-04-16,1234.5,1237.3,1213.2,1228.0,12168,1228.884007232084
2024-04-17,1233.6,1233.9,1206.8,1215.0,11852,1226.1793368207898
2024-04-19,1201.4,1211.1,1192.3,1198.4,12633,1199.4533048365392
2024-04-22,1201.0,1215.3,1200.4,1207.0,12406,1207.8464855714976
2024-04-23,1209.3,1212.2,1188.7,1190.3,11478,1206.0893709705524
2024-04-24,1208.0,1234.5,1207.1,1230.8,10146,1221.6331559235166
2024-04-25,1226.8,1230.4,1222.1,1228.0,10423,1226.697918065816
2024-04-26,1221.9,1241.0,1220.7,1232.8,11433,1230.4997900813435
2024-05-02,1230.0,1242.3,1230.0,1240.2,11238,1236.290683395622
2024-05-03,1249.7,1254.9,1246.6,1248.9,10726,1250.6604885325378
2024-05-06,1256.2,1275.5,1256.2,1273.2,10047,1262.72610729571
2024-05-07,1272.4,1277.5,1266.2,1276.2,10664,1269.8805326331583
2024-05-08,1273.3,1274.8,1261.3,1272.8,10633,1268.9814257500236
2024-05-09,1278.4,1281.9,1267.5,1274.5,9757,1276.0015681049504
2024-05-10,1275.0,1280.3,1259.3,1269.5,9805,1271.700734319225
2024-05-13,1272.5,1274.6,1262.1,1265.6,10578,1270.0567120438648
2024-05-14,1270.0,1279.1,1270.0,1276.0,10418,1274.2069783067768
2024-05-15,1277.5,1293.4,1277.5,1285.2,11425,1283.7737592997812
2024-05-16,1295.1,1311.0,1294.2,1309.5,10993,1304.0090057309196
2024-05-17,1307.0,1308.2,1301.9,1306.0,10179,1304.232458984183
2024-05-20,1314.9,1319.8,1310.2,1313.1,9899,1315.2680472775028
2024-05-21,1308.3,1309.6,1297.2,1305.6,9706,1305.591891613435
2024-05-22,1310.8,1312.3,1288.1,1292.2,11208,1301.349188079943
2024-05-23,1289.7,1295.7,1283.2,1294.6,12129,1289.2316514139666
2024-05-24,1294.1,1303.6,1271.4,1279.8,12366,1291.3946223516093
2024-05-27,1279.7,1281.9,1272.6,1278.4,11147,1278.646111061272
2024-05-28,1279.8,1292.1,1279.8,1292.0,8984,1283.8836041852182
2024-05-29,1291.9,1292.3,1275.8,1277.6,9809,1285.6974105413397
2024-05-30,1268.8,1271.0,1256.5,1270.1,11457,1264.706729510343
2024-05-31,1270.8,1275.1,1266.9,1268.3,11077,1271.5639703890945
2024-06-03,1283.0,1298.4,1280.7,1293.7,11351,1291.078979825566
2024-06-04,1292.5,1302.5,1291.4,1293.3,10376,1296.5904876638397
2024-06-05,1302.0,1309.5,1297.1,1297.8,9422,1304.8206431755466
2024-06-06,1296.3,1306.2,1292.1,1294.9,10905,1301.0246309032555
2024-06-07,1306.4,1308.5,1298.2,1308.1,10034,1303.504883396452
2024-06-10,1314.0,1314.0,1305.2,1309.2,11167,1310.037019790454
2024-06-11,1314.5,1315.3,1300.4,1308.2,11124,1307.4412261776338
2024-06-12,1302.6,1332.0,1301.4,1328.4,10684,1308.151235492325
2024-06-13,1330.7,1338.6,1324.9,1337.4,10796,1329.62015561319
2024-06-14,1333.6,1335.9,1326.1,1327.1,10277,1332.32635010217
2024-06-17,1315.1,1315.8,1305.3,1309.5,12386,1311.5036169869209
2024-06-18,1312.3,1322.2,1309.3,1310.3,10451,1315.0624820591331
2024-06-19,1310.4,1325.0,1299.2,1314.9,12536,1306.0118618379067
2024-06-20,1317.8,1327.8,1316.7,1323.7,11438,1321.7262371043887
2024-06-21,1321.8,1323.0,1311.7,1317.8,11482,1317.5187597979445
2024-06-24,1313.9,1317.3,1286.0,1287.1,12728,1301.621024512885
