datetime,open,high,low,close,Volume,VWAP
2021-08-16,1485.5,1503.7,1485.5,1502.7,8314,1492.1669352898725
2021-08-17,1506.7,1507.2,1488.0,1493.5,6580,1500.0884498480243
2021-08-18,1494.4,1504.0,1485.2,1490.1,8353,1496.530515982282
2021-08-19,1493.3,1502.8,1484.6,1498.6,7766,1491.3125547257275
2021-08-20,1492.6,1493.2,1428.3,1448.4,8130,1475.8630873308734
2021-08-23,1444.4,1447.1,1409.1,1410.0,10480,1432.8864790076336
2021-08-24,1415.2,1427.2,1407.5,1418.1,9515,1416.7942932212295
2021-08-25,1418.2,1432.0,1410.0,1430.0,9388,1419.0631337878142
2021-08-26,1430.7,1432.0,1403.0,1411.9,8715,1424.4997131382675
2021-08-27,1408.0,1422.0,1390.5,1420.9,10023,1404.3173301406764
2021-08-30,1422.9,1435.3,1422.5,1431.7,8041,1427.1764954607636
2021-08-31,1433.5,1434.5,1421.1,1423.5,9562,1430.4955239489645
2021-09-01,1427.2,1434.7,1423.1,1427.0,10350,1429.3104154589373
2021-09-06,1434.0,1444.9,1431.9,1443.8,8681,1437.0997004953347
2021-09-07,1445.1,1449.7,1436.5,1440.3,7451,1444.506213931016
2021-09-08,1441.4,1442.0,1428.7,1431.5,8576,1437.3313549440297
2021-09-09,1430.5,1445.5,1430.0,1445.0,7492,1435.7089428723973
2021-09-10,1446.8,1452.9,1443.4,1447.6,6255,1447.6989928057553
2021-09-13,1445.0,1448.7,1437.2,1442.4,7273,1444.7990787845454
2021-09-14,1440.8,1445.1,1434.6,1435.7,6331,1441.13550781867
2021-09-15,1437.4,1450.6,1434.9,1448.8,6935,1440.536236481615
2021-09-16,1448.0,1453.1,1445.7,1452.0,6221,1450.1037293039706
2021-09-17,1444.2,1457.6,1443.7,1456.1,7350,1451.1984897959185
2021-09-20,1459.9,1466.6,1454.8,1455.7,7432,1461.968447255113
2021-09-21,1446.4,1447.3,1425.4,1438.3,10169,1437.0148195496115
2021-09-22,1441.0,1443.9,1433.9,1441.8,7257,1439.6456524734738
2021-09-23,1447.3,1455.5,1445.6,1449.1,7021,1450.0444666001993
2021-09-24,1454.7,1455.8,1446.1,1449.5,6690,1452.3717339312407
2021-09-27,1452.5,1454.4,1436.0,1436.9,7268,1448.091345624656
2021-09-28,1430.5,1453.9,1429.5,1452.9,8205,1437.7485435709934
2021-09-29,1448.9,1452.2,1433.4,1448.4,9511,1442.9555462096519
2021-09-30,1451.1,1458.3,1448.2,1451.8,8125,1452.8042953846154
2021-10-01,1441.2,1446.5,1436.3,1440.8,9672,1443.0824441687346
2021-10-04,1440.6,1444.7,1434.1,1439.8,7435,1439.5194889038332
2021-10-05,1438.0,1449.6,1438.0,1449.1,6989,1444.3658892545427
2021-10-06,1451.4,1453.4,1447.2,1451.4,6354,1451.0133931381806
2021-10-07,1457.6,1459.5,1452.9,1454.1,5745,1457.4669625761533
2021-10-08,1458.1,1474.0,1457.4,1473.5,6966,1463.3239018087856
2021-10-11,1475.9,1514.0,1475.5,1514.0,8190,1491.3727472527473
2021-10-12,1513.5,1514.0,1499.6,1503.7,8708,1507.8687643546164
2021-10-13,1513.2,1522.4,1502.1,1507.4,8777,1515.3093084197335
2021-10-14,1508.1,1514.0,1500.4,1503.4,8966,1507.0532902074503
2021-10-15,1510.0,1516.6,1500.5,1503.6,7340,1512.0714032697547
2021-10-18,1505.3,1521.8,1505.3,1510.6,8243,1513.552602207934
2021-10-19,1511.3,1513.3,1503.2,1507.8,9035,1508.4961151079137
2021-10-20,1512.2,1517.4,1485.0,1497.2,8112,1510.4130424063117
2021-10-21,1507.5,1509.5,1497.0,1498.2,8043,1503.9757180156657
2021-10-22,1495.4,1496.8,1485.5,1492.0,6823,1492.2848160633155
2021-10-25,1494.5,1495.0,1483.8,1486.0,8381,1488.4461758740008
2021-10-26,1477.5,1488.9,1468.2,1488.5,6419,1473.8277145972893
2021-10-27,1489.1,1525.7,1487.9,1523.7,8262,1506.3047083030742
2021-10-28,1523.8,1535.7,1517.4,1534.1,8681,1525.1368966708906
2021-10-29,1531.9,1539.8,1527.0,1534.8,9606,1533.5553820528837
2021-11-01,1534.9,1535.6,1518.2,1522.0,8550,1527.9443274853802
2021-11-02,1521.8,1528.1,1519.1,1523.5,8028,1523.583856502242
2021-11-03,1524.9,1538.3,1521.2,1528.8,8213,1529.0345062705467
2021-11-04,1530.2,1535.2,1523.3,1527.5,9195,1529.5105274605764
2021-11-05,1529.8,1539.5,1526.8,1538.0,6467,1530.604932735426
2021-11-08,1537.8,1545.3,1534.0,1536.7,8170,1539.2336107711137
2021-11-09,1539.0,1539.0,1521.4,1527.0,8188,1532.9966536394722
2021-11-10,1524.7,1534.7,1518.7,1529.6,7825,1525.389571884984
2021-11-11,1527.9,1529.9,1507.6,1515.3,9308,1520.777868500215
2021-11-12,1514.9,1530.3,1505.5,1527.9,6683,1514.2616938500673
2021-11-15,1532.7,1536.5,1522.4,1528.8,6844,1531.433869082408
2021-11-16,1527.2,1529.5,1515.0,1519.0,7787,1523.1023885963787
2021-11-17,1516.8,1523.2,1514.7,1521.6,5765,1518.3788031222898
2021-11-18,1521.6,1522.2,1507.5,1508.0,7035,1515.264221748401
2021-11-19,1506.0,1522.5,1489.0,1501.2,5759,1515.237141864907
2021-11-22,1503.1,1521.7,1498.5,1509.7,7774,1511.0803833290456
2021-11-23,1512.9,1526.9,1509.0,1525.1,6943,1515.3482212300157
