datetime,tickersymbol,price,volume
2025-01-02 09:49:59.319204,VN30F2501,1350.4,3
2025-01-02 09:50:08.672592,VN30F2501,1350.3,30
2025-01-02 09:50:12.750118,VN30F2501,1350.4,4
2025-01-02 09:50:17.039958,VN30F2501,1350.3,2
2025-01-02 09:50:52.956264,VN30F2501,1349.9,6
2025-01-02 09:50:57.059048,VN30F2501,1350.0,2
2025-01-02 09:51:07.217508,VN30F2501,1350.1,4
2025-01-02 09:51:17.636696,VN30F2501,1350.0,15
2025-01-02 09:51:22.707548,VN30F2501,1350.1,5
2025-01-02 09:51:26.812361,VN30F2501,1349.9,1
2025-01-02 09:51:32.930508,VN30F2501,1350.0,7
2025-01-02 09:51:37.007947,VN30F2501,1349.9,5
2025-01-02 09:51:47.220267,VN30F2501,1349.7,6
2025-01-02 09:51:57.644554,VN30F2501,1349.6,2
2025-01-02 09:52:47.012742,VN30F2501,1349.3,1
2025-01-02 09:53:56.803022,VN30F2501,1349.9,1
2025-01-02 09:54:29.643719,VN30F2501,1350.0,1
2025-01-02 09:55:22.892434,VN30F2501,1349.9,7
2025-01-02 09:55:29.010089,VN30F2501,1349.7,1
2025-01-02 09:55:52.879974,VN30F2501,1349.9,10
2025-01-02 09:56:23.723921,VN30F2501,1349.8,1
2025-01-02 09:56:36.977366,VN30F2501,1349.7,6
2025-01-02 09:56:43.085733,VN30F2501,1349.8,1
2025-01-02 09:56:47.175099,VN30F2501,1349.7,2
2025-01-02 09:57:06.733185,VN30F2501,1349.6,3
2025-01-02 09:57:23.054790,VN30F2501,1349.5,4
2025-01-02 09:57:42.814911,VN30F2501,1349.4,1
2025-01-02 09:57:53.211510,VN30F2501,1349.5,1
2025-01-02 09:57:57.082139,VN30F2501,1349.4,16
2025-01-02 09:58:03.408027,VN30F2501,1349.5,1
2025-01-02 09:58:07.487336,VN30F2501,1349.4,2
2025-01-02 09:58:18.717521,VN30F2501,1349.5,1
2025-01-02 09:58:33.187707,VN30F2501,1349.5,5
2025-01-02 09:58:37.265124,VN30F2501,1349.4,1
2025-01-02 09:59:02.965786,VN30F2501,1349.4,5
2025-01-02 09:59:13.146598,VN30F2501,1349.3,1
2025-01-02 09:59:21.315130,VN30F2501,1349.1,2
2025-01-02 09:59:27.423172,VN30F2501,1349.0,20
2025-01-02 09:59:47.006750,VN30F2501,1348.7,4
2025-01-02 10:00:03.331111,VN30F2501,1348.6,1
2025-01-02 10:00:13.539055,VN30F2501,1348.3,1
2025-01-02 10:00:29.052845,VN30F2501,1348.0,5
2025-01-02 10:00:33.137900,VN30F2501,1348.3,1
2025-01-02 10:00:37.438222,VN30F2501,1348.1,2
2025-01-02 10:00:43.538343,VN30F2501,1348.2,1
2025-01-02 10:00:50.882829,VN30F2501,1348.6,10
2025-01-02 10:01:01.135343,VN30F2501,1348.5,3
2025-01-02 10:01:37.043263,VN30F2501,1348.1,4
2025-01-02 10:01:45.194918,VN30F2501,1347.9,1
