datetime,tickersymbol,price,volume
2024-12-30 09:00:46.610671,VN30F2501,1346.0,1
2024-12-30 09:00:47.869608,VN30F2501,1345.3,20
2024-12-30 09:00:51.106897,VN30F2501,1345.5,9
2024-12-30 09:00:52.787172,VN30F2501,1345.9,1
2024-12-30 09:00:55.351024,VN30F2501,1345.3,1
2024-12-30 09:00:56.924018,VN30F2501,1345.3,13
2024-12-30 09:00:59.080612,VN30F2501,1345.9,1
2024-12-30 09:00:59.832246,VN30F2501,1345.3,2
2024-12-30 09:01:00.468925,VN30F2501,1345.7,1
2024-12-30 09:01:00.667763,VN30F2501,1345.6,20
2024-12-30 09:01:01.497029,VN30F2501,1345.7,3
2024-12-30 09:01:01.723131,VN30F2501,1345.9,1
2024-12-30 09:01:10.615767,VN30F2501,1345.5,2
2024-12-30 09:01:14.887204,VN30F2501,1345.7,5
2024-12-30 09:01:16.951329,VN30F2501,1345.6,1
2024-12-30 09:01:21.027422,VN30F2501,1345.4,1
2024-12-30 09:01:25.117575,VN30F2501,1345.1,14
2024-12-30 09:01:33.267124,VN30F2501,1344.4,10
2024-12-30 09:01:35.564454,VN30F2501,1344.0,1
2024-12-30 09:01:37.575692,VN30F2501,1344.4,5
2024-12-30 09:01:38.592869,VN30F2501,1343.8,10
2024-12-30 09:01:40.790742,VN30F2501,1344.0,1
2024-12-30 09:01:44.722365,VN30F2501,1342.1,20
2024-12-30 09:01:46.922312,VN30F2501,1342.0,4
2024-12-30 09:01:48.755743,VN30F2501,1342.1,30
2024-12-30 09:01:51.001581,VN30F2501,1342.6,11
2024-12-30 09:01:52.838013,VN30F2501,1343.3,17
2024-12-30 09:01:55.105848,VN30F2501,1342.6,2
2024-12-30 09:01:59.187714,VN30F2501,1343.5,1
2024-12-30 09:02:01.206996,VN30F2501,1343.0,10
2024-12-30 09:02:03.260751,VN30F2501,1342.7,5
2024-12-30 09:02:05.307952,VN30F2501,1343.0,1
2024-12-30 09:02:11.395143,VN30F2501,1343.0,3
2024-12-30 09:02:13.454453,VN30F2501,1343.2,5
2024-12-30 09:02:14.729035,VN30F2501,1343.3,1
2024-12-30 09:02:16.761381,VN30F2501,1343.7,3
2024-12-30 09:02:18.796644,VN30F2501,1343.9,10
2024-12-30 09:02:21.827394,VN30F2501,1343.7,2
2024-12-30 09:02:22.644841,VN30F2501,1343.9,1
2024-12-30 09:02:24.722195,VN30F2501,1343.8,2
2024-12-30 09:02:26.920381,VN30F2501,1343.9,1
2024-12-30 09:02:28.755400,VN30F2501,1343.6,6
2024-12-30 09:02:30.797782,VN30F2501,1343.9,3
2024-12-30 09:02:32.857280,VN30F2501,1343.8,2
2024-12-30 09:02:34.943813,VN30F2501,1343.9,1
2024-12-30 09:02:43.289333,VN30F2501,1343.8,5
2024-12-30 09:02:50.655549,VN30F2501,1343.7,1
2024-12-30 09:02:52.704771,VN30F2501,1343.8,3
2024-12-30 09:02:56.733700,VN30F2501,1343.7,2
2024-12-30 09:03:04.891530,VN30F2501,1343.6,8
2024-12-30 09:03:06.930014,VN30F2501,1343.8,1
2024-12-30 09:03:13.076434,VN30F2501,1343.8,1
2024-12-30 09:03:21.408680,VN30F2501,1343.9,20
2024-12-30 09:03:23.491803,VN30F2501,1344.0,1
2024-12-30 09:03:25.310394,VN30F2501,1343.6,2
2024-12-30 09:03:29.391136,VN30F2501,1344.0,3
2024-12-30 09:03:31.661615,VN30F2501,1343.9,1
2024-12-30 09:03:32.690168,VN30F2501,1344.0,2
2024-12-30 09:03:34.742767,VN30F2501,1343.5,5
2024-12-30 09:03:36.744094,VN30F2501,1343.9,1
2024-12-30 09:03:40.834369,VN30F2501,1344.0,4
2024-12-30 09:03:44.892147,VN30F2501,1343.7,1
2024-12-30 09:03:48.795761,VN30F2501,1343.9,2
2024-12-30 09:03:53.275461,VN30F2501,1344.0,5
2024-12-30 09:03:57.132270,VN30F2501,1343.9,1
2024-12-30 09:04:05.314808,VN30F2501,1343.9,1
2024-12-30 09:04:10.389164,VN30F2501,1343.8,4
2024-12-30 09:04:12.678196,VN30F2501,1343.7,2
2024-12-30 09:04:14.709717,VN30F2501,1343.6,3
2024-12-30 09:04:16.753407,VN30F2501,1343.5,5
2024-12-30 09:04:18.956281,VN30F2501,1343.6,1
2024-12-30 09:04:20.865498,VN30F2501,1343.5,3
2024-12-30 09:04:24.887129,VN30F2501,1343.6,3
2024-12-30 09:04:26.916367,VN30F2501,1343.5,1
2024-12-30 09:04:41.396842,VN30F2501,1343.6,2
2024-12-30 09:04:43.444866,VN30F2501,1343.4,1
2024-12-30 09:04:45.482899,VN30F2501,1343.3,2
2024-12-30 09:04:47.543102,VN30F2501,1343.5,14
2024-12-30 09:04:49.583616,VN30F2501,1343.3,2
2024-12-30 09:04:50.590987,VN30F2501,1343.6,1
2024-12-30 09:05:03.043727,VN30F2501,1343.4,2
2024-12-30 09:05:04.864204,VN30F2501,1343.2,3
2024-12-30 09:05:06.914384,VN30F2501,1343.4,2
2024-12-30 09:05:08.945218,VN30F2501,1343.6,10
2024-12-30 09:05:12.246097,VN30F2501,1343.2,1
2024-12-30 09:05:15.289019,VN30F2501,1343.4,2
2024-12-30 09:05:25.475525,VN30F2501,1343.2,15
2024-12-30 09:05:27.512436,VN30F2501,1343.4,1
2024-12-30 09:05:28.535103,VN30F2501,1343.2,14
2024-12-30 09:05:30.573564,VN30F2501,1343.3,2
2024-12-30 09:05:36.727878,VN30F2501,1343.3,13
2024-12-30 09:05:38.776048,VN30F2501,1343.5,2
2024-12-30 09:05:40.963418,VN30F2501,1343.6,4
2024-12-30 09:05:43.047192,VN30F2501,1343.5,2
2024-12-30 09:05:44.893219,VN30F2501,1343.6,9
2024-12-30 09:05:47.119769,VN30F2501,1343.7,6
2024-12-30 09:05:49.161103,VN30F2501,1343.6,1
2024-12-30 09:05:55.264176,VN30F2501,1343.5,7
2024-12-30 09:05:57.490763,VN30F2501,1343.6,1
2024-12-30 09:06:08.916739,VN30F2501,1343.7,14
2024-12-30 09:06:10.978188,VN30F2501,1343.8,1
2024-12-30 09:06:27.452889,VN30F2501,1343.9,15
2024-12-30 09:06:29.291748,VN30F2501,1343.8,1
2024-12-30 09:06:42.947224,VN30F2501,1344.3,1
2024-12-30 09:06:51.083557,VN30F2501,1344.4,1
2024-12-30 09:06:55.174279,VN30F2501,1344.4,2
2024-12-30 09:07:06.578920,VN30F2501,1344.6,3
2024-12-30 09:07:08.598177,VN30F2501,1344.5,1
2024-12-30 09:07:12.907424,VN30F2501,1344.6,1
2024-12-30 09:07:16.778799,VN30F2501,1344.4,3
2024-12-30 09:07:21.054423,VN30F2501,1344.5,1
2024-12-30 09:07:33.483365,VN30F2501,1344.6,1
2024-12-30 09:07:37.356308,VN30F2501,1344.6,6
2024-12-30 09:07:43.472725,VN30F2501,1344.8,1
2024-12-30 09:08:01.013550,VN30F2501,1345.0,4
2024-12-30 09:08:13.469887,VN30F2501,1344.9,1
2024-12-30 09:08:17.534759,VN30F2501,1345.0,12
2024-12-30 09:08:19.571483,VN30F2501,1344.9,5
2024-12-30 09:08:22.661274,VN30F2501,1344.8,2
2024-12-30 09:08:26.955210,VN30F2501,1344.7,1
2024-12-30 09:08:32.961622,VN30F2501,1345.0,2
2024-12-30 09:08:34.904544,VN30F2501,1344.8,1
2024-12-30 09:08:40.994359,VN30F2501,1344.7,1
2024-12-30 09:08:43.049671,VN30F2501,1344.8,5
2024-12-30 09:08:49.154118,VN30F2501,1344.7,1
2024-12-30 09:08:51.397190,VN30F2501,1344.8,2
2024-12-30 09:08:55.476692,VN30F2501,1344.7,1
2024-12-30 09:09:06.730184,VN30F2501,1344.8,1
